Leandros Tassiulas,461
Dharma P. Agrawal,460
Ernesto Damiani,460
Michael Unser,460
Milind Tambe,460
Saket Saurabh 0001,459
Tony Q. S. Quek,459
Fabrizio Lombardi,458
Hector Garcia-Molina,458
Jörg Henkel,458
Christos H. Papadimitriou,457
Horst Bischof,457
Wolfgang Rosenstiel,457
Andreas F. Molisch,456
Geoffrey Ye Li,456
Xindong Wu 0001,456
Kalyanmoy Deb,455
Qingming Huang,455
T. Aaron Gulliver,455
Frank Leymann,454
Horst Bunke,454
Ming-Hsuan Yang 0001,454
Max Mühlhäuser,453
Rik Van de Walle,453
Wolfgang Lehner,453
Mateo Valero,452
Azriel Rosenfeld,451
Daniel Cremers,451
Weisi Lin,451
Arumugam Nallanathan,449
Ian R. Petersen,449
Osvaldo Simeone,449
Qian Zhang 0001,449
Jan Treur,448
Gerhard J. Woeginger,447
Yuan Yan Tang,447
Andrew B. Kahng,445
Jiandong Li 0001,445
Ling Shao 0001,445
Zidong Wang,445
Keqin Li 0001,444
Kannan Ramchandran,442
B. Sundar Rajan,441
Peter J. Stuckey,441
Rafail Ostrovsky,441
Jon Crowcroft,440
Ramesh C. Jain,440
Shuzhi Sam Ge,440
Wilfried Philips,440
Albrecht Schmidt 0001,439
Alfredo Cuzzocrea,438
Toby Walsh,438
Alex Waibel,437
Dennis Sylvester,437
Katia P. Sycara,436
Lei Chen 0002,436
Prosenjit Bose,436
José Duato,435
Stephan Olariu,435
Andreas Uhl,434
Daniel A. Keim,434
Huan Liu 0001,434
Andreas K. Maier,432
Fei-Yue Wang 0001,432
Jiangchuan Liu,431
Keshab K. Parhi,431
Majid Sarrafzadeh,431
Nicu Sebe,431
Rachid Guerraoui,431
Yuguang Fang,431
Chintha Tellambura,430
Lothar Thiele,430
Nicholas Ayache,430
Raouf Boutaba,430
José M. F. Moura,429
Fedor V. Fomin,428
Karl Aberer,428
Ben Shneiderman,427
Geoffrey C. Fox,427
Jong Hyuk Park,427
Krishnendu Chatterjee,427
Marc Pollefeys,427
Ching Y. Suen,426
Jacob A. Abraham,426
Bernd Becker 0001,425
Lionel M. Ni,425
Chin-Teng Lin,424
Enrique Herrera-Viedma,424
Mikko Valkama,424
Xilin Chen,424
