Manfred Broy,512,,,,,,,,,,,,,
Michael J. Carey 0001,511,,,,,,,,,,,,,
Henning Müller,510,,,,,,,,,,,,,
Josef Kittler,510,,,,,,,,,,,,,
Shih-Fu Chang,510,,,,,,,,,,,,,
Jennifer Widom,508,,,,,,,,,,,,,
Micha Sharir,508,,,,,,,,,,,,,
Laurence T. Yang,507,,,,,,,,,,,,,
Eduard H. Hovy,506,,,,,,,,,,,,,
Volker Markl,505,,,,,,,,,,,,,
Qiang Yang 0001,504,,,,,,,,,,,,,
Randy H. Katz,504,,,,,,,,,,,,,
Luca Benini,503,,,,,,,,,,,,,
Pascal Hitzler,503,,,,,,,,,,,,,
Jack Snoeyink,502,,,,,,,,,,,,,
Timos K. Sellis,498,,,,,,,,,,,,,
Beng Chin Ooi,497,,,,,,,,,,,,,
Nancy A. Lynch,497,,,,,,,,,,,,,
Lajos Hanzo,496,,,,,,,,,,,,,
Gio Wiederhold,495,,,,,,,,,,,,,
David S. Johnson,494,,,,,,,,,,,,,
Franco Zambonelli,492,,,,,,,,,,,,,
Joseph S. B. Mitchell,492,,,,,,,,,,,,,
Joseph Y. Halpern,492,,,,,,,,,,,,,
Francisco Herrera,491,,,,,,,,,,,,,
Jiannong Cao,491,,,,,,,,,,,,,
Divesh Srivastava,490,,,,,,,,,,,,,
Ramesh C. Jain,486,,,,,,,,,,,,,
Alan M. Frieze,485,,,,,,,,,,,,,
Frank van Harmelen,485,,,,,,,,,,,,,
János Pach,485,,,,,,,,,,,,,
Frank Leymann,483,,,,,,,,,,,,,
Richard T. Snodgrass,483,,,,,,,,,,,,,
W. Bruce Croft,482,,,,,,,,,,,,,
Björn W. Schuller,479,,,,,,,,,,,,,
László Lovász 0001,479,,,,,,,,,,,,,
Mario Gerla,479,,,,,,,,,,,,,
Shuicheng Yan,478,,,,,,,,,,,,,
Madhu Sudan,476,,,,,,,,,,,,,
Matthias Weidlich,476,,,,,,,,,,,,,
Rajeev Motwani 0001,475,,,,,,,,,,,,,
Sajal K. Das 0001,475,,,,,,,,,,,,,
Alexander G. Hauptmann,474,,,,,,,,,,,,,
Richard Hull 0001,471,,,,,,,,,,,,,
Alok N. Choudhary,469,,,,,,,,,,,,,
Tova Milo,467,,,,,,,,,,,,,
Toby Walsh,466,,,,,,,,,,,,,
Alejandro F. Frangi,465,,,,,,,,,,,,,
Nassir Navab,465,,,,,,,,,,,,,
Hans-Jörg Schek,464,,,,,,,,,,,,,
Nicu Sebe,464,,,,,,,,,,,,,
Emo Welzl,462,,,,,,,,,,,,,
Jeffrey F. Naughton,462,,,,,,,,,,,,,
Mark A. Musen,461,,,,,,,,,,,,,
Umeshwar Dayal,461,,,,,,,,,,,,,
Wolfgang Nejdl,461,,,,,,,,,,,,,
Helen E. Parkinson,460,,,,,,,,,,,,,
Daniel S. Katz,458,,,,,,,,,,,,,
Frank Thomson Leighton,457,,,,,,,,,,,,,
Marc Snir,457,,,,,,,,,,,,,
Omer F. Rana,457,,,,,,,,,,,,,
